Step,Site,State
126,Histone_5,M
126,Histone_6,M
126,Histone_7,M
126,Histone_8,M
126,Histone_9,M
127,Histone_1,M
127,Histone_10,M
127,Histone_2,M
127,Histone_3,M
127,Histone_4,M
127,Histone_5,M
127,Histone_6,M
127,Histone_7,M
127,Histone_8,M
127,Histone_9,M
128,Histone_1,M
128,Histone_10,M
128,Histone_2,M
128,Histone_3,M
128,Histone_4,M
128,Histone_5,M
128,Histone_6,M
128,Histone_7,M
128,Histone_8,M
128,Histone_9,M
129,Histone_1,M
129,Histone_10,M
129,Histone_2,M
129,Histone_3,M
129,Histone_4,M
129,Histone_5,M
129,Histone_6,M
129,Histone_7,M
129,Histone_8,M
129,Histone_9,M
130,Histone_1,M
130,Histone_10,M
130,Histone_2,M
130,Histone_3,M
130,Histone_4,M
130,Histone_5,M
130,Histone_6,M
130,Histone_7,M
130,Histone_8,M
130,Histone_9,M
131,Histone_1,M
131,Histone_10,M
131,Histone_2,M
131,Histone_3,M
131,Histone_4,M
131,Histone_5,M
131,Histone_6,M
131,Histone_7,M
131,Histone_8,M
131,Histone_9,M
132,Histone_1,M
132,Histone_10,M
132,Histone_2,M
132,Histone_3,M
132,Histone_4,M
132,Histone_5,M
132,Histone_6,M
132,Histone_7,M
132,Histone_8,M
132,Histone_9,M
133,Histone_1,M
133,Histone_10,M
133,Histone_2,M
133,Histone_3,M
133,Histone_4,M
133,Histone_5,M
133,Histone_6,M
133,Histone_7,M
133,Histone_8,M
133,Histone_9,M
134,Histone_1,M
134,Histone_10,M
134,Histone_2,M
134,Histone_3,M
134,Histone_4,M
134,Histone_5,M
134,Histone_6,M
134,Histone_7,M
134,Histone_8,M
134,Histone_9,M
135,Histone_1,M
135,Histone_10,M
135,Histone_2,M
135,Histone_3,M
135,Histone_4,M
135,Histone_5,M
135,Histone_6,M
135,Histone_7,M
135,Histone_8,M
135,Histone_9,M
136,Histone_1,M
136,Histone_10,M
136,Histone_2,M
136,Histone_3,M
136,Histone_4,M
136,Histone_5,M
136,Histone_6,M
136,Histone_7,M
136,Histone_8,M
136,Histone_9,M
137,Histone_1,M
137,Histone_10,M
137,Histone_2,M
137,Histone_3,M
137,Histone_4,M
137,Histone_5,M
137,Histone_6,M
137,Histone_7,M
137,Histone_8,M
137,Histone_9,M
138,Histone_1,M
138,Histone_10,M
138,Histone_2,M
138,Histone_3,M
138,Histone_4,M
138,Histone_5,M
138,Histone_6,M
138,Histone_7,M
138,Histone_8,M
138,Histone_9,M
139,Histone_1,M
139,Histone_10,M
139,Histone_2,M
139,Histone_3,M
139,Histone_4,M
